cliente_id,segmento,complexidade_cliente,frequencia_visita,visitas_previstas_mes,registros_realizados_mes,taxa_cumprimento_visitas,nota_checklist,qtd_nao_conformidades,qtd_nc_peso_1,qtd_nc_peso_2,qtd_nc_peso_3,qtd_nc_recorrentes,tempo_permanencia_min,tempo_minimo_esperado,desvio_tempo,possivel_subregistro,risco_operacional
C001,restaurante,intermediario,mensal,1,1,1.0,75.7,1,1,0,0,1,46,120,-74,0,atencao
C002,restaurante,extra_complexo,quinzenal,2,1,0.5,61.7,8,4,3,1,2,239,240,-1,0,critico
C003,restaurante,complexo,quinzenal,2,1,0.5,81.3,4,3,1,0,1,171,180,-9,0,critico
C004,restaurante,intermediario,mensal,1,1,1.0,81.0,2,0,2,0,0,127,120,7,0,atencao
C005,restaurante,simples,mensal,1,1,1.0,80.5,5,4,1,0,0,117,90,27,0,atencao
C006,restaurante,simples,semanal,4,3,0.75,82.3,4,1,1,2,0,122,90,32,0,critico
C007,restaurante,extra_simples,mensal,1,1,1.0,78.3,4,4,0,0,0,53,60,-7,0,atencao
C008,restaurante,complexo,mensal,1,1,1.0,67.7,8,4,4,0,1,140,180,-40,0,critico
C009,restaurante,intermediario,mensal,1,0,0.0,67.0,6,3,0,3,0,95,120,-25,0,atencao
C010,restaurante,complexo,mensal,1,1,1.0,66.5,6,4,1,1,0,173,180,-7,0,atencao
C011,restaurante,extra_simples,quinzenal,2,2,1.0,100.0,2,1,0,1,1,30,60,-30,0,baixo
C012,restaurante,extra_complexo,quinzenal,2,2,1.0,52.1,4,2,0,2,0,286,240,46,0,critico
C013,restaurante,complexo,mensal,1,1,1.0,61.7,6,3,3,0,0,154,180,-26,0,atencao
C014,restaurante,simples,mensal,1,1,1.0,64.9,5,4,0,1,1,113,90,23,0,atencao
C015,restaurante,simples,semanal,4,4,1.0,62.3,3,2,0,1,0,44,90,-46,0,atencao
C016,restaurante,simples,semanal,4,3,0.75,77.8,5,3,2,0,0,114,90,24,0,atencao
C017,restaurante,simples,quinzenal,2,1,0.5,72.6,5,5,0,0,0,90,90,0,0,critico
C018,restaurante,intermediario,mensal,1,1,1.0,96.1,2,2,0,0,0,171,120,51,0,baixo
C019,restaurante,intermediario,mensal,1,1,1.0,71.6,2,1,1,0,1,92,120,-28,0,atencao
C020,restaurante,simples,semanal,4,3,0.75,95.5,0,0,0,0,0,78,90,-12,0,critico
C021,restaurante,intermediario,quinzenal,2,1,0.5,86.6,3,2,1,0,0,115,120,-5,1,critico
C022,restaurante,simples,quinzenal,2,2,1.0,77.5,4,2,0,2,0,90,90,0,0,critico
C023,restaurante,simples,mensal,1,1,1.0,100.0,1,0,1,0,0,84,90,-6,0,baixo
